finest_ngc,catalog,name,con,type,ra_h,dec_deg,mag,source,best_instant_utc,best_date,iso
87,NGC 5907,Splinter Galaxy,Dra,Gal,15.2649,56.3289,11.1,RASC Finest NGC Checklist v2.1a,2026-06-25 04:04,2026-06-25,2026-W26-4
88,NGC 6503,MCG 12-17-9,Dra,Gal,17.8240,70.1444,10.8,RASC Finest NGC Checklist v2.1a,2026-08-02 04:14,2026-08-02,2026-W31-7
90,NGC 6210,Turtle Nebula,Her,PN,16.7415,23.8000,9.7,RASC Finest NGC Checklist v2.1a,2026-07-16 17:58,2026-07-17,2026-W29-5
91,NGC 6369,Little Ghost Nebula,Oph,PN,17.4889,-23.7594,11,RASC Finest NGC Checklist v2.1a,2026-07-28 00:27,2026-07-28,2026-W31-2
92,NGC 6572,Blue Racquetball,Oph,PN,18.2018,6.8533,8,RASC Finest NGC Checklist v2.1a,2026-08-08 01:50,2026-08-08,2026-W32-6
93,NGC 6633,Collinder 380,Oph,OC,18.4542,6.5083,5.6,RASC Finest NGC Checklist v2.1a,2026-08-12 01:38,2026-08-12,2026-W33-3
94,NGC 6712,,Sct,GC,18.8844,-8.7050,8.1,RASC Finest NGC Checklist v2.1a,2026-08-18 23:07,2026-08-19,2026-W34-3
95,NGC 6781,PN G041.8-02.9,Aql,PN,19.3078,6.5386,11.8,RASC Finest NGC Checklist v2.1a,2026-08-25 20:28,2026-08-26,2026-W35-3
96,NGC 6819,Collinder 403,Cyg,OC,19.6883,40.1867,9.5,RASC Finest NGC Checklist v2.1a,2026-09-01 02:51,2026-09-01,2026-W36-2
101,NGC 7027,Magic Carpet,Cyg,PN,21.1171,42.2361,9.6,RASC Finest NGC Checklist v2.1a,2026-09-24 23:06,2026-09-25,2026-W39-5
102,NGC 6445,He 2-290,Sgr,PN,17.8209,-20.0094,13,RASC Finest NGC Checklist v2.1a,2026-08-02 03:05,2026-08-02,2026-W31-7
103,NGC 6520,Collinder 361,Sgr,OC,18.0567,-27.8883,7.6,RASC Finest NGC Checklist v2.1a,2026-08-05 19:12,2026-08-06,2026-W32-4
104,NGC 6818,Little Gem,Sgr,PN,19.7327,-14.1533,10,RASC Finest NGC Checklist v2.1a,2026-09-01 20:29,2026-09-02,2026-W36-3
105,NGC 6802,Collinder 400,Vul,OC,19.5097,20.2617,11.7,RASC Finest NGC Checklist v2.1a,2026-08-29 04:04,2026-08-29,2026-W35-6
106,NGC 6940,Collinder 424,Vul,OC,20.5739,28.2833,7.2,RASC Finest NGC Checklist v2.1a,2026-09-15 21:05,2026-09-16,2026-W38-3
107,NGC 6939,Collinder 423,Cep,OC,20.5250,60.6617,10.1,RASC Finest NGC Checklist v2.1a,2026-09-15 01:27,2026-09-15,2026-W38-2
109,NGC 7129,Small Cluster Nebula,Cep,RN,21.7167,66.1167,11.5,RASC Finest NGC Checklist v2.1a,2026-10-04 21:59,2026-10-05,2026-W41-1
