asterism,member,resolved_object,ra_h,dec_deg,mag,coordinate_source,coordinate_source_id,magnitude_source,magnitude_source_id,override
Sickle of Leo,Zeta Leonis,Adhafera,10.2781710000,23.4173110000,3.43,Pinned HYG v4.1,HIP 50335,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 50335,
Sickle of Leo,Mu Leonis,Rasalas,9.8793980000,26.0069510000,3.88,Pinned HYG v4.1,HIP 48455,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 48455,
Sickle of Leo,Epsilon Leonis,Ras Elased Australis,9.7641880000,23.7742550000,2.97,Pinned HYG v4.1,HIP 47908,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 47908,
Keystone of Hercules,Epsilon Herculis,Epsilon Herculis,17.0048270000,30.9264050000,3.92,Pinned HYG v4.1,HIP 83207,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 83207,
Keystone of Hercules,Zeta Herculis,Zeta Herculis,16.6881130000,31.6027260000,2.81,Pinned HYG v4.1,HIP 81693,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 81693,
Keystone of Hercules,Eta Herculis,Eta Herculis,16.7149330000,38.9222540000,3.48,Pinned HYG v4.1,HIP 81833,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 81833,
Keystone of Hercules,Pi Herculis,Pi Herculis,17.2507880000,36.8091620000,3.16,Pinned HYG v4.1,HIP 84380,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 84380,
Northern Cross,Alpha Cygni,Deneb,20.6905320000,45.2803380000,1.25,Star Almanack expanded-bayer-stars.csv,HIP 102098,Star Almanack expanded-bayer-stars.csv,HIP 102098,
Northern Cross,Beta Cygni,Albireo,19.5120230000,27.9596810000,3.05,Pinned HYG v4.1; positional cross-match 0.099 arcsec from CDS Sesame/SIMBAD * bet01 Cyg,HIP 95947,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 95947,
Northern Cross,Gamma Cygni,Sadr,20.3704730000,40.2566790000,2.23,Pinned HYG v4.1,HIP 100453,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 100453,
Northern Cross,Delta Cygni,Fawaris,19.7495740000,45.1308100000,2.86,Pinned HYG v4.1,HIP 97165,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 97165,
