hip,ra_h,dec_deg
58484,11.9938031387,-78.2218183300
58948,12.0868526667,8.7328456300
59196,12.1393176700,-50.7224099900
59199,12.1402090713,-24.7287799300
59316,12.1687571820,-22.6197921100
59449,12.1942087267,-52.3684155900
59747,12.2524324887,-58.7489017900
59774,12.2570691967,57.0325979200
59803,12.2634632913,-17.5419837000
59929,12.2929545347,-67.9606716100
60000,12.3058177553,-79.3122689900
60129,12.3317753973,-0.6667470900
60718,12.4433170567,-63.0990558600
60742,12.4489798873,28.2686197500
60823,12.4673365520,-50.2306048000
60965,12.4977731000,-16.5150939700
61084,12.5194248013,-57.1125692200
61199,12.5411419307,-72.1329759000
61281,12.5580673607,69.7882099200
61317,12.5625257073,41.3567677900
61359,12.5731205760,-23.3966230600
61585,12.6197454720,-69.1355335800
61789,12.6646004013,-39.9872418800
61932,12.6920013860,-48.9598855300
61941,12.6944450380,-1.4495223100
62322,12.7713526753,-68.1080940500
62434,12.7953663580,-59.6887324600
62956,12.9004536067,55.9598430100
63090,12.9268009107,3.3975986200
63125,12.9338447007,38.3182461700
63608,13.0363223713,10.9591018600
63613,13.0377159787,-71.5487986500
64238,13.1658366767,-5.5389298700
64241,13.1665415087,17.5291162100
64394,13.1980340780,27.8760376900
64962,13.3153481600,-23.1714124600
65109,13.3433515473,-36.7120810900
65378,13.3987277360,54.9254152500
65474,13.4198901533,-11.1612449100
65936,13.5174079073,-39.4072798300
66249,13.5782652000,-0.5959382100
66657,13.6647979747,-53.4663626900
67275,13.7877879580,17.4567743600
67301,13.7923739200,49.3133028800
67464,13.8250826133,-41.6876597100
67472,13.8269466227,-42.4736850600
67927,13.9114211667,18.3985874200
68002,13.9256763593,-47.2882663400
68245,13.9711901853,-42.1007052600
68282,13.9779920467,-44.8035314000
68520,14.0274397653,1.5445833800
68702,14.0637345987,-60.3729784000
68756,14.0731738913,64.3758087300
68862,14.1007738933,-41.1795803500
68895,14.1061858220,-26.6820188300
68933,14.1114790720,-36.3686957500
69483,14.2247083053,51.7899906600
69673,14.2612076020,19.1872699700
69701,14.2669124780,-5.9995262200
