finest_ngc,catalog,name,con,type,ra_h,dec_deg,mag,source,best_instant_utc,best_date,iso
81,NGC 4535,Lost Galaxy,Vir,Gal,12.5723,8.1978,10.5,RASC Finest NGC Checklist v2.1a,2027-05-17 00:19,2027-05-17,2027-W20-1
82a,NGC 4567,Siamese Twins,Vir,Gal,12.6091,11.2578,12.1,RASC Finest NGC Checklist v2.1a,2027-05-17 13:40,2027-05-18,2027-W20-2
82b,NGC 4568,Siamese Twins,Vir,Gal,12.6095,11.2386,11.7,RASC Finest NGC Checklist v2.1a,2027-05-17 13:48,2027-05-18,2027-W20-2
83,NGC 4699,MCG -1-33-13,Vir,Gal,12.8173,-8.6644,10.4,RASC Finest NGC Checklist v2.1a,2027-05-20 16:51,2027-05-21,2027-W20-5
84,NGC 4762,MCG 2-33-33,Vir,Gal,12.8822,11.2306,11.1,RASC Finest NGC Checklist v2.1a,2027-05-21 16:10,2027-05-22,2027-W20-6
85,NGC 5746,MCG 0-38-5,Vir,Gal,14.7489,1.9547,11.4,RASC Finest NGC Checklist v2.1a,2027-06-17 23:12,2027-06-18,2027-W24-5
86,NGC 5466,,Boo,GC,14.0908,28.5350,9.2,RASC Finest NGC Checklist v2.1a,2027-06-08 10:50,2027-06-08,2027-W23-2
87,NGC 5907,Splinter Galaxy,Dra,Gal,15.2649,56.3289,11.1,RASC Finest NGC Checklist v2.1a,2027-06-25 09:50,2027-06-25,2027-W25-5
88,NGC 6503,MCG 12-17-9,Dra,Gal,17.8240,70.1444,10.8,RASC Finest NGC Checklist v2.1a,2027-08-02 10:01,2027-08-02,2027-W31-1
90,NGC 6210,Turtle Nebula,Her,PN,16.7415,23.8000,9.7,RASC Finest NGC Checklist v2.1a,2027-07-16 23:44,2027-07-17,2027-W28-6
91,NGC 6369,Little Ghost Nebula,Oph,PN,17.4889,-23.7594,11,RASC Finest NGC Checklist v2.1a,2027-07-28 06:13,2027-07-28,2027-W30-3
92,NGC 6572,Blue Racquetball,Oph,PN,18.2018,6.8533,8,RASC Finest NGC Checklist v2.1a,2027-08-08 07:36,2027-08-08,2027-W31-7
93,NGC 6633,Collinder 380,Oph,OC,18.4542,6.5083,5.6,RASC Finest NGC Checklist v2.1a,2027-08-12 07:25,2027-08-12,2027-W32-4
94,NGC 6712,,Sct,GC,18.8844,-8.7050,8.1,RASC Finest NGC Checklist v2.1a,2027-08-19 04:53,2027-08-19,2027-W33-4
95,NGC 6781,PN G041.8-02.9,Aql,PN,19.3078,6.5386,11.8,RASC Finest NGC Checklist v2.1a,2027-08-26 02:14,2027-08-26,2027-W34-4
96,NGC 6819,Collinder 403,Cyg,OC,19.6883,40.1867,9.5,RASC Finest NGC Checklist v2.1a,2027-09-01 08:37,2027-09-01,2027-W35-3
101,NGC 7027,Magic Carpet,Cyg,PN,21.1171,42.2361,9.6,RASC Finest NGC Checklist v2.1a,2027-09-25 04:52,2027-09-25,2027-W38-6
102,NGC 6445,He 2-290,Sgr,PN,17.8209,-20.0094,13,RASC Finest NGC Checklist v2.1a,2027-08-02 08:52,2027-08-02,2027-W31-1
103,NGC 6520,Collinder 361,Sgr,OC,18.0567,-27.8883,7.6,RASC Finest NGC Checklist v2.1a,2027-08-06 00:58,2027-08-06,2027-W31-5
104,NGC 6818,Little Gem,Sgr,PN,19.7327,-14.1533,10,RASC Finest NGC Checklist v2.1a,2027-09-02 02:16,2027-09-02,2027-W35-4
105,NGC 6802,Collinder 400,Vul,OC,19.5097,20.2617,11.7,RASC Finest NGC Checklist v2.1a,2027-08-29 09:51,2027-08-29,2027-W34-7
106,NGC 6940,Collinder 424,Vul,OC,20.5739,28.2833,7.2,RASC Finest NGC Checklist v2.1a,2027-09-16 02:52,2027-09-16,2027-W37-4
107,NGC 6939,Collinder 423,Cep,OC,20.5250,60.6617,10.1,RASC Finest NGC Checklist v2.1a,2027-09-15 07:13,2027-09-15,2027-W37-3
109,NGC 7129,Small Cluster Nebula,Cep,RN,21.7167,66.1167,11.5,RASC Finest NGC Checklist v2.1a,2027-10-05 03:46,2027-10-05,2027-W40-2
