messier,ra_h,best_instant_utc,best_date,iso
M56,19.276667,2025-08-25 02:27,2025-08-25,2025-W35-1
M57,18.893333,2025-08-18 20:49,2025-08-19,2025-W34-2
M58,12.628333,2025-05-17 09:06,2025-05-17,2025-W20-6
M59,12.700000,2025-05-18 11:01,2025-05-18,2025-W20-7
M60,12.728333,2025-05-18 21:15,2025-05-19,2025-W21-1
M61,12.365000,2025-05-13 09:17,2025-05-13,2025-W20-2
M62,17.020000,2025-07-20 16:09,2025-07-21,2025-W30-1
M63,13.263333,2025-05-26 20:40,2025-05-27,2025-W22-2
M64,12.945000,2025-05-22 03:10,2025-05-22,2025-W21-4
M65,11.315000,2025-04-27 01:45,2025-04-27,2025-W17-7
M66,11.336667,2025-04-27 09:59,2025-04-27,2025-W17-7
M67,8.840000,2025-03-17 17:43,2025-03-18,2025-W12-2
M68,12.658333,2025-05-17 19:57,2025-05-18,2025-W20-7
M69,18.523333,2025-08-12 22:17,2025-08-13,2025-W33-3
M70,18.720000,2025-08-16 01:48,2025-08-16,2025-W33-6
M71,19.896667,2025-09-04 08:00,2025-09-04,2025-W36-4
M72,20.891667,2025-09-20 22:56,2025-09-21,2025-W38-7
M73,20.983333,2025-09-22 11:42,2025-09-22,2025-W39-1
M74,1.611667,2025-12-02 16:48,2025-12-03,2025-W49-3
M75,20.101667,2025-09-07 17:55,2025-09-08,2025-W37-1
M76,1.705000,2025-12-03 23:46,2025-12-04,2025-W49-4
M77,2.711667,2025-12-17 17:27,2025-12-18,2025-W51-4
M78,5.778333,2025-01-28 21:57,2025-01-29,2025-W05-3
M79,5.408333,2025-01-23 13:44,2025-01-24,2025-W04-5
M80,16.283333,2025-07-09 17:41,2025-07-10,2025-W28-4
M81,9.926667,2025-04-04 15:01,2025-04-05,2025-W14-6
M82,9.930000,2025-04-04 16:20,2025-04-05,2025-W14-6
M83,13.616667,2025-06-01 01:27,2025-06-01,2025-W22-7
M84,12.418333,2025-05-14 04:45,2025-05-14,2025-W20-3
M85,12.423333,2025-05-14 06:35,2025-05-14,2025-W20-3
M86,12.436667,2025-05-14 11:27,2025-05-14,2025-W20-3
M87,12.513333,2025-05-15 15:22,2025-05-16,2025-W20-5
M88,12.533333,2025-05-15 22:38,2025-05-16,2025-W20-5
M89,12.595000,2025-05-16 21:01,2025-05-17,2025-W20-6
M90,12.613333,2025-05-17 03:40,2025-05-17,2025-W20-6
M91,12.590000,2025-05-16 19:12,2025-05-17,2025-W20-6
M92,17.285000,2025-07-24 16:09,2025-07-25,2025-W30-5
M93,7.743333,2025-02-27 22:36,2025-02-28,2025-W09-5
M94,12.848333,2025-05-20 16:28,2025-05-21,2025-W21-3
M95,10.733333,2025-04-17 18:29,2025-04-18,2025-W16-5
M96,10.780000,2025-04-18 12:33,2025-04-19,2025-W16-6
M97,11.246667,2025-04-25 23:44,2025-04-26,2025-W17-6
M98,12.230000,2025-05-11 07:48,2025-05-11,2025-W19-7
M99,12.313333,2025-05-12 14:22,2025-05-13,2025-W20-2
M100,12.381667,2025-05-13 15:22,2025-05-14,2025-W20-3
M101,14.053333,2025-06-07 10:15,2025-06-07,2025-W23-6
M102,15.108333,2025-06-22 16:05,2025-06-23,2025-W26-1
M103,1.553333,2025-12-01 21:23,2025-12-02,2025-W49-2
M104,12.666667,2025-05-17 22:58,2025-05-18,2025-W20-7
M105,10.796667,2025-04-18 18:59,2025-04-19,2025-W16-6
M106,12.316667,2025-05-12 15:35,2025-05-13,2025-W20-2
M107,16.541667,2025-07-13 13:03,2025-07-14,2025-W29-1
M108,11.191667,2025-04-25 02:46,2025-04-25,2025-W17-5
M109,11.960000,2025-05-07 04:05,2025-05-07,2025-W19-3
M110,0.673333,2025-11-19 11:18,2025-11-19,2025-W47-3
