caldwell,catalog,con,type,ra_h,dec_deg,mag,size_arcmin,name,source,best_instant_utc,best_date,iso
C40,NGC 3626,Leo,SbG,11.3350,18.3500,10.9,3x2,,Astronomical League Caldwell Program Object List,2027-04-27 20:53,2027-04-28,2027-W17-3
C41,Hyades,Tau,OC,4.4500,16.0000,1.0,330,Hyades,Astronomical League Caldwell Program Object List,2027-01-10 14:19,2027-01-11,2027-W02-1
C42,NGC 7006,Del,GC,21.0250,16.1833,10.6,2.8,,Astronomical League Caldwell Program Object List,2027-09-23 15:58,2027-09-24,2027-W38-5
C43,NGC 7814,Peg,SbG,0.0550,16.1500,10.5,6x2,,Astronomical League Caldwell Program Object List,2027-11-10 22:09,2027-11-11,2027-W45-4
C44,NGC 7479,Peg,SBbG,23.0817,12.3167,11.0,4x3,,Astronomical League Caldwell Program Object List,2027-10-27 02:40,2027-10-27,2027-W43-3
C45,NGC 5248,Boo,ScG,13.6250,8.8833,10.2,6x4,,Astronomical League Caldwell Program Object List,2027-06-01 15:54,2027-06-02,2027-W22-3
C46,NGC 2261,Mon,BN,6.6533,8.7333,10.0,2x1,Hubble's Variable Nebula,Astronomical League Caldwell Program Object List,2027-02-11 10:05,2027-02-11,2027-W06-4
C47,NGC 6934,Del,GC,20.5700,7.4000,8.9,5.9,,Astronomical League Caldwell Program Object List,2027-09-16 01:18,2027-09-16,2027-W37-4
C48,NGC 2775,Cnc,SaG,9.1717,7.0333,10.3,4.5x3,,Astronomical League Caldwell Program Object List,2027-03-23 16:15,2027-03-24,2027-W12-3
C49,NGC 2237-2239,Mon,BN,6.5383,5.0500,,80x60,Rosette Nebula,Astronomical League Caldwell Program Object List,2027-02-09 16:13,2027-02-10,2027-W06-3
C50,NGC 2244,Mon,OC,6.5400,4.8667,4.8,24,,Astronomical League Caldwell Program Object List,2027-02-09 16:50,2027-02-10,2027-W06-3
C51,IC 1613,Cet,IG,1.0800,2.1167,9.0,12x11,,Astronomical League Caldwell Program Object List,2027-11-25 17:58,2027-11-26,2027-W47-5
C52,NGC 4697,Vir,E4G,12.8100,-5.8000,9.3,6x3,,Astronomical League Caldwell Program Object List,2027-05-20 14:13,2027-05-21,2027-W20-5
C53,NGC 3115,Sex,E6G,10.0867,-7.7167,9.1,8x3,Spindle Galaxy,Astronomical League Caldwell Program Object List,2027-04-07 17:34,2027-04-08,2027-W14-4
C54,NGC 2506,Mon,OC,8.0033,-10.7833,7.6,7,,Astronomical League Caldwell Program Object List,2027-03-04 14:14,2027-03-05,2027-W09-5
C55,NGC 7009,Aqr,PN,21.0700,-11.3667,8.3,2.5/1,Saturn Nebula,Astronomical League Caldwell Program Object List,2027-09-24 10:00,2027-09-24,2027-W38-5
C56,NGC 246,Cet,PN,0.7833,-11.8833,8.0,3.8,,Astronomical League Caldwell Program Object List,2027-11-21 12:44,2027-11-22,2027-W47-1
C57,NGC 6822,Sgr,IG,19.7483,-14.8000,9.3,10x9,Barnard's Galaxy,Astronomical League Caldwell Program Object List,2027-09-02 08:28,2027-09-02,2027-W35-4
C58,NGC 2360,CMa,OC,7.2967,-15.6167,7.2,13,,Astronomical League Caldwell Program Object List,2027-02-21 08:34,2027-02-21,2027-W07-7
C59,NGC 3242,Hya,PN,10.4133,-18.6333,8.6,0.3/21,Ghost of Jupiter,Astronomical League Caldwell Program Object List,2027-04-13 01:33,2027-04-13,2027-W15-2
C60,NGC 4038,Crv,ScG,12.0317,-18.8667,11.3,2.6x1.8,Antennae Galaxies,Astronomical League Caldwell Program Object List,2027-05-08 18:11,2027-05-09,2027-W18-7
C61,NGC 4039,Crv,ScG,12.0317,-18.8833,13.0,3.2x2.2,Antennae Galaxies,Astronomical League Caldwell Program Object List,2027-05-08 18:11,2027-05-09,2027-W18-7
C62,NGC 247,Cet,SG,0.7850,-20.7667,8.9,20x7,,Astronomical League Caldwell Program Object List,2027-11-21 13:19,2027-11-22,2027-W47-1
C63,NGC 7293,Aqr,PN,22.4933,-20.8000,6.5,13,Helix Nebula,Astronomical League Caldwell Program Object List,2027-10-17 19:11,2027-10-18,2027-W42-1
C64,NGC 2362,CMa,OC,7.3133,-24.9500,4.1,8,Tau Canis Majoris Cluster,Astronomical League Caldwell Program Object List,2027-02-21 14:49,2027-02-22,2027-W08-1
C65,NGC 253,Scl,SG,0.7933,-25.2833,7.1,25x7,Sculptor Galaxy,Astronomical League Caldwell Program Object List,2027-11-21 16:10,2027-11-22,2027-W47-1
C66,NGC 5694,Hya,GC,14.6600,-26.5333,10.2,3.6,,Astronomical League Caldwell Program Object List,2027-06-16 16:25,2027-06-17,2027-W24-4
C67,NGC 1097,For,SBbG,2.7717,-30.2833,9.2,9x6,,Astronomical League Caldwell Program Object List,2027-12-19 00:32,2027-12-19,2027-W50-7
C68,NGC 6729,CrA,BN,19.0317,-36.9500,9.7,1.0,R Coronae Australis Nebula,Astronomical League Caldwell Program Object List,2027-08-21 14:09,2027-08-22,2027-W33-7
C69,NGC 6302,Sco,PN,17.2283,-37.1000,12.8,0.8,Bug Nebula,Astronomical League Caldwell Program Object List,2027-07-24 07:04,2027-07-24,2027-W29-6
C70,NGC 300,Scl,SdG,0.9150,-37.6833,8.1,20x13,,Astronomical League Caldwell Program Object List,2027-11-23 09:50,2027-11-23,2027-W47-2
C71,NGC 2477,Pup,OC,7.8717,-38.5500,5.8,27,,Astronomical League Caldwell Program Object List,2027-03-02 11:28,2027-03-02,2027-W09-2
C72,NGC 55,Scl,SBG,0.2483,-39.1833,8.2,32x6,,Astronomical League Caldwell Program Object List,2027-11-13 18:37,2027-11-14,2027-W45-7
C73,NGC 1851,Col,GC,5.2350,-40.0500,7.3,11,,Astronomical League Caldwell Program Object List,2027-01-21 13:59,2027-01-22,2027-W03-5
C74,NGC 3132,Vel,PN,10.1283,-40.4333,8.2,0.8,Southern Ring Nebula,Astronomical League Caldwell Program Object List,2027-04-08 09:54,2027-04-08,2027-W14-4
C75,NGC 6124,Sco,OC,16.4267,-40.6667,5.8,29,,Astronomical League Caldwell Program Object List,2027-07-12 07:50,2027-07-12,2027-W28-1
C76,NGC 6231,Sco,OC,16.9000,-41.8000,2.6,15,,Astronomical League Caldwell Program Object List,2027-07-19 08:30,2027-07-19,2027-W29-1
C77,NGC 5128,Cen,PecG,13.4250,-43.0167,7.0,18x14,Centaurus A,Astronomical League Caldwell Program Object List,2027-05-29 17:26,2027-05-30,2027-W21-7
C78,NGC 6541,CrA,GC,18.1333,-43.7000,6.6,13,,Astronomical League Caldwell Program Object List,2027-08-07 05:46,2027-08-07,2027-W31-6
C79,NGC 3201,Vel,GC,10.2933,-46.4167,6.7,18,,Astronomical League Caldwell Program Object List,2027-04-11 02:37,2027-04-11,2027-W14-7
C80,NGC 5139,Cen,GC,13.4467,-47.4833,3.6,36,Omega Centauri,Astronomical League Caldwell Program Object List,2027-05-30 01:05,2027-05-30,2027-W21-7
C81,NGC 6352,Ara,GC,17.4250,-48.4167,8.1,7,,Astronomical League Caldwell Program Object List,2027-07-27 06:48,2027-07-27,2027-W30-2
C82,NGC 6193,Ara,OC,16.6883,-48.7667,5.2,15,,Astronomical League Caldwell Program Object List,2027-07-16 04:45,2027-07-16,2027-W28-5
C83,NGC 4945,Cen,SBcG,13.0900,-49.4667,9.5,20x4,,Astronomical League Caldwell Program Object List,2027-05-24 18:32,2027-05-25,2027-W21-2
C84,NGC 5286,Cen,GC,13.7733,-51.3667,7.6,9,,Astronomical League Caldwell Program Object List,2027-06-03 19:56,2027-06-04,2027-W22-5
C85,IC 2391,Vel,OC,8.6700,-53.0667,2.5,50,Omicron Velorum Cluster,Astronomical League Caldwell Program Object List,2027-03-15 10:22,2027-03-15,2027-W11-1
C86,NGC 6397,Ara,GC,17.6783,-53.6667,5.6,26,,Astronomical League Caldwell Program Object List,2027-07-31 03:59,2027-07-31,2027-W30-6
C87,NGC 1261,Hor,GC,3.2050,-55.2167,8.4,7,,Astronomical League Caldwell Program Object List,2027-12-24 21:07,2027-12-25,2027-W51-6
C88,NGC 5823,Cir,OC,15.0950,-55.6000,7.9,10,,Astronomical League Caldwell Program Object List,2027-06-22 23:00,2027-06-23,2027-W25-3
C89,NGC 6087,Nor,OC,16.3150,-57.9000,5.4,12,S Normae Cluster,Astronomical League Caldwell Program Object List,2027-07-10 16:23,2027-07-11,2027-W27-7
C90,NGC 2867,Car,PN,9.3567,-58.3167,9.7,0.2,,Astronomical League Caldwell Program Object List,2027-03-26 17:25,2027-03-27,2027-W12-6
C91,NGC 3532,Car,OC,11.1067,-58.6667,3.0,55,,Astronomical League Caldwell Program Object List,2027-04-24 05:49,2027-04-24,2027-W16-6
C92,NGC 3372,Car,BN,10.7300,-59.8667,6.2,120x120,Carina Nebula,Astronomical League Caldwell Program Object List,2027-04-18 04:44,2027-04-18,2027-W15-7
C93,NGC 6752,Pav,GC,19.1817,-59.9833,5.4,20,,Astronomical League Caldwell Program Object List,2027-08-24 00:45,2027-08-24,2027-W34-2
C94,NGC 4755,Cru,OC,12.8933,-60.3333,4.2,10,Jewel Box Cluster,Astronomical League Caldwell Program Object List,2027-05-21 20:09,2027-05-22,2027-W20-6
C95,NGC 6025,TrA,OC,16.0617,-60.5000,5.1,12,,Astronomical League Caldwell Program Object List,2027-07-06 23:18,2027-07-07,2027-W27-3
C96,NGC 2516,Car,OC,7.9717,-60.8667,3.8,30,,Astronomical League Caldwell Program Object List,2027-03-04 02:02,2027-03-04,2027-W09-4
C97,NGC 3766,Cen,OC,11.6017,-61.6167,5.3,12,,Astronomical League Caldwell Program Object List,2027-05-02 01:43,2027-05-02,2027-W17-7
C98,NGC 4609,Cru,OC,12.7050,-62.9667,6.9,5,,Astronomical League Caldwell Program Object List,2027-05-19 00:21,2027-05-19,2027-W20-3
C99,Coalsack,Cru,DN,12.8833,-63.0000,,400x300,Coalsack Nebula,Astronomical League Caldwell Program Object List,2027-05-21 16:34,2027-05-22,2027-W20-6
C100,IC 2944,Cen,OC,11.6100,-63.0333,4.5,15,Lambda Centauri Cluster,Astronomical League Caldwell Program Object List,2027-05-02 04:50,2027-05-02,2027-W17-7
C101,NGC 6744,Pav,SBbG,19.1633,-63.8500,9.0,16x10,,Astronomical League Caldwell Program Object List,2027-08-23 17:33,2027-08-24,2027-W34-2
C102,IC 2602,Car,OC,10.7200,-64.4000,1.9,50,Theta Carinae Cluster,Astronomical League Caldwell Program Object List,2027-04-18 00:52,2027-04-18,2027-W15-7
C103,NGC 2070,Dor,BN,5.6450,-69.1000,1.0,40x25,Tarantula Nebula,Astronomical League Caldwell Program Object List,2027-01-27 11:05,2027-01-27,2027-W04-3
C104,NGC 362,Tuc,GC,1.0533,-70.8500,6.6,13,,Astronomical League Caldwell Program Object List,2027-11-25 08:55,2027-11-25,2027-W47-4
C105,NGC 4833,Mus,GC,12.9933,-70.8833,7.3,14,,Astronomical League Caldwell Program Object List,2027-05-23 07:59,2027-05-23,2027-W20-7
C106,NGC 104,Tuc,GC,0.4017,-72.0833,4.0,31,47 Tucanae,Astronomical League Caldwell Program Object List,2027-11-16 00:29,2027-11-16,2027-W46-2
C107,NGC 6101,Aps,GC,16.4300,-72.2000,9.3,11,,Astronomical League Caldwell Program Object List,2027-07-12 09:01,2027-07-12,2027-W28-1
C108,NGC 4372,Mus,GC,12.4300,-72.6667,7.8,19,,Astronomical League Caldwell Program Object List,2027-05-14 20:33,2027-05-15,2027-W19-6
C109,NGC 3195,Cha,PN,10.1583,-80.8667,,0.6,,Astronomical League Caldwell Program Object List,2027-04-08 21:41,2027-04-09,2027-W14-5
